	e64	e65	e66	e67	e68	e69	e70	e71	e72	e73	e74	e75	e76	e77	e78	e79	e80	e81	e82	e83	e84	e85	e86	e87	e88	e89	e90	e91	e92	e93	e94	e95	e96	e97
e74	0.5816326530612245	0.6913265306122449	0.5884353741496599	0.6335034013605442	0.6343537414965986	0.6938775510204082	0.3945578231292517	0.4302721088435374	0.467687074829932	0.46343537414965985	0.0	0.4923469387755102	0.5935374149659864	0.5722789115646258	0.6386054421768708	0.6079931972789115	0.6836734693877551	0.7185374149659864	0.6147959183673469	0.6564625850340136	0.564625850340136	0.6972789115646258	0.6547619047619048	0.6530612244897959	0.7636054421768708	0.7491496598639455	0.7185374149659864	0.6726190476190477	0.548469387755102	0.6887755102040817	0.8086734693877551	0.6471088435374149	0.6709183673469388	0.6768707482993197
e75	0.6394557823129252	0.7636054421768708	0.5612244897959183	0.6292517006802721	0.6284013605442177	0.6590136054421769	0.5144557823129252	0.5365646258503401	0.5858843537414966	0.4608843537414966	0.4923469387755102	0.0	0.5833333333333334	0.576530612244898	0.6164965986394558	0.564625850340136	0.7108843537414966	0.7882653061224489	0.6615646258503401	0.6530612244897959	0.7244897959183674	0.7321428571428571	0.6547619047619048	0.7134353741496599	0.79421768707483	0.7933673469387755	0.7363945578231292	0.7108843537414966	0.6955782312925171	0.6870748299319728	0.8384353741496599	0.6632653061224489	0.6479591836734694	0.6828231292517006
e76	0.6505102040816326	0.7695578231292517	0.5510204081632653	0.6258503401360545	0.6904761904761905	0.7636054421768708	0.6241496598639455	0.6564625850340136	0.7125850340136054	0.5612244897959183	0.5935374149659864	0.5833333333333334	0.0	0.5221088435374149	0.6113945578231292	0.6794217687074829	0.7551020408163265	0.7363945578231292	0.6811224489795918	0.7610544217687075	0.6836734693877551	0.6981292517006803	0.7602040816326531	0.7380952380952381	0.7908163265306123	0.7517006802721088	0.7772108843537415	0.7482993197278912	0.7329931972789115	0.6972789115646258	0.8214285714285714	0.6802721088435374	0.6981292517006803	0.685374149659864
e77	0.6275510204081632	0.7610544217687075	0.5399659863945578	0.5544217687074829	0.5960884353741497	0.6198979591836735	0.5969387755102041	0.5935374149659864	0.6505102040816326	0.6301020408163265	0.5722789115646258	0.576530612244898	0.5221088435374149	0.0	0.5901360544217688	0.5586734693877551	0.6581632653061225	0.7508503401360545	0.6062925170068028	0.6666666666666666	0.7074829931972789	0.6615646258503401	0.6547619047619048	0.6292517006802721	0.7593537414965986	0.70578231292517	0.6530612244897959	0.689625850340136	0.6938775510204082	0.6156462585034014	0.7108843537414966	0.6505102040816326	0.6164965986394558	0.6318027210884354
e78	0.5722789115646258	0.657312925170068	0.5943877551020408	0.576530612244898	0.6649659863945578	0.6539115646258503	0.6207482993197279	0.6275510204081632	0.6258503401360545	0.6377551020408163	0.6386054421768708	0.6164965986394558	0.6113945578231292	0.5901360544217688	0.0	0.6615646258503401	0.6428571428571429	0.8282312925170068	0.6870748299319728	0.7100340136054422	0.7040816326530612	0.7406462585034014	0.7202380952380952	0.7372448979591837	0.6641156462585034	0.7950680272108843	0.7525510204081632	0.6513605442176871	0.7551020408163265	0.6479591836734694	0.7474489795918368	0.7066326530612245	0.7040816326530612	0.576530612244898
e79	0.7032312925170068	0.8231292517006803	0.6539115646258503	0.6284013605442177	0.5433673469387755	0.6122448979591837	0.6598639455782312	0.6343537414965986	0.6828231292517006	0.641156462585034	0.6079931972789115	0.564625850340136	0.6794217687074829	0.5586734693877551	0.6615646258503401	0.0	0.6352040816326531	0.7525510204081632	0.5391156462585034	0.5595238095238095	0.7448979591836735	0.6496598639455783	0.5816326530612245	0.6198979591836735	0.8222789115646258	0.6972789115646258	0.6241496598639455	0.6386054421768708	0.6785714285714286	0.6556122448979592	0.6921768707482994	0.5901360544217688	0.5833333333333334	0.6581632653061225
e80	0.5612244897959183	0.5374149659863946	0.7312925170068028	0.6488095238095238	0.6683673469387755	0.5824829931972789	0.6955782312925171	0.6700680272108843	0.608843537414966	0.7491496598639455	0.6836734693877551	0.7108843537414966	0.7551020408163265	0.6581632653061225	0.6428571428571429	0.6352040816326531	0.0	0.8673469387755102	0.6369047619047619	0.6479591836734694	0.7227891156462585	0.685374149659864	0.6258503401360545	0.6386054421768708	0.58078231292517	0.7610544217687075	0.6777210884353742	0.6777210884353742	0.6717687074829932	0.6037414965986394	0.7040816326530612	0.6930272108843537	0.6394557823129252	0.5799319727891157
e81	0.8316326530612245	0.8860544217687075	0.7482993197278912	0.6964285714285714	0.7593537414965986	0.8656462585034014	0.7448979591836735	0.7780612244897959	0.8367346938775511	0.7517006802721088	0.7185374149659864	0.7882653061224489	0.7363945578231292	0.7508503401360545	0.8282312925170068	0.7525510204081632	0.8673469387755102	0.0	0.6819727891156463	0.7814625850340136	0.7363945578231292	0.7202380952380952	0.7874149659863946	0.8231292517006803	0.9175170068027211	0.7559523809523809	0.8528911564625851	0.8256802721088435	0.7457482993197279	0.7840136054421769	0.8596938775510204	0.6488095238095238	0.6964285714285714	0.7704081632653061
e82	0.7465986394557823	0.8596938775510204	0.6369047619047619	0.6156462585034014	0.5289115646258503	0.5952380952380952	0.6751700680272109	0.673469387755102	0.7406462585034014	0.6700680272108843	0.6147959183673469	0.6615646258503401	0.6811224489795918	0.6062925170068028	0.6870748299319728	0.5391156462585034	0.6369047619047619	0.6819727891156463	0.0	0.5110544217687075	0.7372448979591837	0.5119047619047619	0.5637755102040817	0.5620748299319728	0.8214285714285714	0.592687074829932	0.5935374149659864	0.6590136054421769	0.6607142857142857	0.54421768707483	0.6301020408163265	0.5773809523809523	0.4957482993197279	0.5697278911564626
e83	0.7474489795918368	0.8341836734693877	0.7049319727891157	0.6598639455782312	0.5833333333333334	0.5960884353741497	0.7066326530612245	0.6709183673469388	0.7108843537414966	0.7244897959183674	0.6564625850340136	0.6530612244897959	0.7610544217687075	0.6666666666666666	0.7100340136054422	0.5595238095238095	0.6479591836734694	0.7814625850340136	0.5110544217687075	0.0	0.7423469387755102	0.5425170068027211	0.46683673469387754	0.5884353741496599	0.7950680272108843	0.70578231292517	0.5994897959183674	0.6394557823129252	0.6743197278911565	0.6037414965986394	0.5969387755102041	0.5994897959183674	0.5688775510204082	0.6190476190476191
e84	0.6054421768707483	0.5790816326530612	0.7142857142857143	0.717687074829932	0.7806122448979592	0.8358843537414966	0.5153061224489796	0.5629251700680272	0.5408163265306123	0.6649659863945578	0.564625850340136	0.7244897959183674	0.6836734693877551	0.7074829931972789	0.7040816326530612	0.7448979591836735	0.7227891156462585	0.7363945578231292	0.7372448979591837	0.7423469387755102	0.0	0.7193877551020408	0.7210884353741497	0.7210884353741497	0.6700680272108843	0.8035714285714286	0.8358843537414966	0.7142857142857143	0.4991496598639456	0.7695578231292517	0.8341836734693877	0.6964285714285714	0.7482993197278912	0.6700680272108843
e85	0.7593537414965986	0.826530612244898	0.6862244897959183	0.5833333333333334	0.5705782312925171	0.5909863945578231	0.7517006802721088	0.7346938775510204	0.7993197278911565	0.7525510204081632	0.6972789115646258	0.7321428571428571	0.6981292517006803	0.6615646258503401	0.7406462585034014	0.6496598639455783	0.685374149659864	0.7202380952380952	0.5119047619047619	0.5425170068027211	0.7193877551020408	0.0	0.5935374149659864	0.5544217687074829	0.7976190476190477	0.5901360544217688	0.6139455782312925	0.701530612244898	0.6607142857142857	0.5527210884353742	0.6326530612244898	0.6292517006802721	0.5595238095238095	0.5850340136054422
e86	0.7312925170068028	0.8095238095238095	0.7278911564625851	0.6972789115646258	0.5901360544217688	0.5782312925170068	0.6964285714285714	0.6768707482993197	0.6819727891156463	0.7125850340136054	0.6547619047619048	0.6547619047619048	0.7602040816326531	0.6547619047619048	0.7202380952380952	0.5816326530612245	0.6258503401360545	0.7874149659863946	0.5637755102040817	0.46683673469387754	0.7210884353741497	0.5935374149659864	0.0	0.6122448979591837	0.7899659863945578	0.7261904761904762	0.6011904761904762	0.6802721088435374	0.6454081632653061	0.6054421768707483	0.641156462585034	0.6028911564625851	0.576530612244898	0.5909863945578231
e87	0.7491496598639455	0.8052721088435374	0.701530612244898	0.6870748299319728	0.6113945578231292	0.6045918367346939	0.7227891156462585	0.6666666666666666	0.7202380952380952	0.7440476190476191	0.6530612244897959	0.7134353741496599	0.7380952380952381	0.6292517006802721	0.7372448979591837	0.6198979591836735	0.6386054421768708	0.8231292517006803	0.5620748299319728	0.5884353741496599	0.7210884353741497	0.5544217687074829	0.6122448979591837	0.0	0.7619047619047619	0.6045918367346939	0.560374149659864	0.6607142857142857	0.6590136054421769	0.5994897959183674	0.6054421768707483	0.6445578231292517	0.5858843537414966	0.6105442176870748
e88	0.5671768707482994	0.5671768707482994	0.7933673469387755	0.7397959183673469	0.8401360544217688	0.7423469387755102	0.7729591836734694	0.7185374149659864	0.6113945578231292	0.8171768707482994	0.7636054421768708	0.79421768707483	0.7908163265306123	0.7593537414965986	0.6641156462585034	0.8222789115646258	0.58078231292517	0.9175170068027211	0.8214285714285714	0.7950680272108843	0.6700680272108843	0.7976190476190477	0.7899659863945578	0.7619047619047619	0.0	0.8605442176870748	0.8732993197278912	0.7083333333333334	0.6369047619047619	0.733843537414966	0.7840136054421769	0.8001700680272109	0.8248299319727891	0.6828231292517006
e89	0.8511904761904762	0.9328231292517006	0.6887755102040817	0.6241496598639455	0.592687074829932	0.6428571428571429	0.83078231292517	0.7865646258503401	0.8537414965986394	0.7848639455782312	0.7491496598639455	0.7933673469387755	0.7517006802721088	0.70578231292517	0.7950680272108843	0.6972789115646258	0.7610544217687075	0.7559523809523809	0.592687074829932	0.70578231292517	0.8035714285714286	0.5901360544217688	0.7261904761904762	0.6045918367346939	0.8605442176870748	0.0	0.6130952380952381	0.689625850340136	0.7389455782312925	0.5943877551020408	0.6607142857142857	0.6955782312925171	0.5901360544217688	0.6437074829931972
e90	0.8052721088435374	0.875	0.7219387755102041	0.6743197278911565	0.5425170068027211	0.5255102040816326	0.7593537414965986	0.717687074829932	0.7712585034013606	0.7687074829931972	0.7185374149659864	0.7363945578231292	0.7772108843537415	0.6530612244897959	0.7525510204081632	0.6241496598639455	0.6777210884353742	0.8528911564625851	0.5935374149659864	0.5994897959183674	0.8358843537414966	0.6139455782312925	0.6011904761904762	0.560374149659864	0.8732993197278912	0.6130952380952381	0.0	0.7134353741496599	0.7423469387755102	0.592687074829932	0.54421768707483	0.6964285714285714	0.5425170068027211	0.6386054421768708
e91	0.7219387755102041	0.8027210884353742	0.7083333333333334	0.6879251700680272	0.6828231292517006	0.6887755102040817	0.7032312925170068	0.6879251700680272	0.6998299319727891	0.7236394557823129	0.6726190476190477	0.7108843537414966	0.7482993197278912	0.689625850340136	0.6513605442176871	0.6386054421768708	0.6777210884353742	0.8256802721088435	0.6590136054421769	0.6394557823129252	0.7142857142857143	0.701530612244898	0.6802721088435374	0.6607142857142857	0.7083333333333334	0.689625850340136	0.7134353741496599	0.0	0.7244897959183674	0.6972789115646258	0.657312925170068	0.6972789115646258	0.70578231292517	0.6241496598639455
e92	0.6403061224489796	0.66921768707483	0.7610544217687075	0.6998299319727891	0.6904761904761905	0.7227891156462585	0.5663265306122449	0.5493197278911565	0.5280612244897959	0.6590136054421769	0.548469387755102	0.6955782312925171	0.7329931972789115	0.6938775510204082	0.7551020408163265	0.6785714285714286	0.6717687074829932	0.7457482993197279	0.6607142857142857	0.6743197278911565	0.4991496598639456	0.6607142857142857	0.6454081632653061	0.6590136054421769	0.6369047619047619	0.7389455782312925	0.7423469387755102	0.7244897959183674	0.0	0.6624149659863946	0.7840136054421769	0.6496598639455783	0.6488095238095238	0.6709183673469388
e93	0.6828231292517006	0.7908163265306123	0.6522108843537415	0.5493197278911565	0.5467687074829932	0.49489795918367346	0.7236394557823129	0.6615646258503401	0.6913265306122449	0.7227891156462585	0.6887755102040817	0.6870748299319728	0.6972789115646258	0.6156462585034014	0.6479591836734694	0.6556122448979592	0.6037414965986394	0.7840136054421769	0.54421768707483	0.6037414965986394	0.7695578231292517	0.5527210884353742	0.6054421768707483	0.5994897959183674	0.733843537414966	0.5943877551020408	0.592687074829932	0.6972789115646258	0.6624149659863946	0.0	0.6105442176870748	0.6607142857142857	0.5399659863945578	0.5229591836734694
e94	0.858843537414966	0.9115646258503401	0.7610544217687075	0.7134353741496599	0.6649659863945578	0.5994897959183674	0.8545918367346939	0.8154761904761905	0.8154761904761905	0.8511904761904762	0.8086734693877551	0.8384353741496599	0.8214285714285714	0.7108843537414966	0.7474489795918368	0.6921768707482994	0.7040816326530612	0.8596938775510204	0.6301020408163265	0.5969387755102041	0.8341836734693877	0.6326530612244898	0.641156462585034	0.6054421768707483	0.7840136054421769	0.6607142857142857	0.54421768707483	0.657312925170068	0.7840136054421769	0.6105442176870748	0.0	0.7636054421768708	0.6530612244897959	0.6318027210884354
e95	0.7185374149659864	0.7831632653061225	0.6955782312925171	0.6607142857142857	0.6173469387755102	0.689625850340136	0.6726190476190477	0.6471088435374149	0.70578231292517	0.6649659863945578	0.6471088435374149	0.6632653061224489	0.6802721088435374	0.6505102040816326	0.7066326530612245	0.5901360544217688	0.6930272108843537	0.6488095238095238	0.5773809523809523	0.5994897959183674	0.6964285714285714	0.6292517006802721	0.6028911564625851	0.6445578231292517	0.8001700680272109	0.6955782312925171	0.6964285714285714	0.6972789115646258	0.6496598639455783	0.6607142857142857	0.7636054421768708	0.0	0.5391156462585034	0.6403061224489796
e96	0.7389455782312925	0.8605442176870748	0.6547619047619048	0.5773809523809523	0.5085034013605442	0.5501700680272109	0.6845238095238095	0.6649659863945578	0.7108843537414966	0.6658163265306123	0.6709183673469388	0.6479591836734694	0.6981292517006803	0.6164965986394558	0.7040816326530612	0.5833333333333334	0.6394557823129252	0.6964285714285714	0.4957482993197279	0.5688775510204082	0.7482993197278912	0.5595238095238095	0.576530612244898	0.5858843537414966	0.8248299319727891	0.5901360544217688	0.5425170068027211	0.70578231292517	0.6488095238095238	0.5399659863945578	0.6530612244897959	0.5391156462585034	0.0	0.5306122448979592
e97	0.6887755102040817	0.7474489795918368	0.6428571428571429	0.576530612244898	0.6301020408163265	0.6071428571428571	0.6811224489795918	0.6632653061224489	0.6870748299319728	0.6972789115646258	0.6768707482993197	0.6828231292517006	0.685374149659864	0.6318027210884354	0.576530612244898	0.6581632653061225	0.5799319727891157	0.7704081632653061	0.5697278911564626	0.6190476190476191	0.6700680272108843	0.5850340136054422	0.5909863945578231	0.6105442176870748	0.6828231292517006	0.6437074829931972	0.6386054421768708	0.6241496598639455	0.6709183673469388	0.5229591836734694	0.6318027210884354	0.6403061224489796	0.5306122448979592	0.0
